Entidad,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estados Unidos Mexicanos,30535,29200,35139,41563,41655,35497,37017,39369,37807,33659,30601,30786
Aguascalientes,56089,25511,32368,24711,39453,35457,41254,39912,36500,48443,29984,29584
Baja California,31791,29446,39297,57066,56632,32758,51286,43921,42725,35655,27377,31690
Baja California Sur,25779,28884,31049,23747,34700,25577,29939,25690,28377,18887,22739,21756
Campeche,20922,21704,29097,30597,29306,22114,28892,28283,26466,18595,25390,18610
Coahuila de Zaragoza,29279,26558,17870,25451,18318,24800,25215,25299,24813,21896,26383,24418
Colima,17343,22287,25169,26309,30535,27045,29449,27074,28376,29280,26793,26565
Chiapas,15028,13663,12827,19215,19160,16687,20055,20464,19409,13903,15689,16386
Chihuahua,41903,30562,35952,31669,24295,31274,34920,28857,28622,23133,25690,26432
Ciudad de México,44055,40790,49198,51786,59545,52718,49913,68954,69716,62008,53334,45336
Durango,23803,21540,27631,22512,30080,25640,23283,22566,22586,21373,22970,17387
Guanajuato,23365,26705,34391,34110,40737,33154,33384,29231,38067,50894,29106,29936
Guerrero,33467,27040,33762,35366,42690,53875,47392,45006,43051,30864,30769,26481
Hidalgo,22662,25106,21874,23468,23211,21159,23564,22135,25987,20732,23605,19205
Jalisco,32980,29351,49083,47278,43076,49317,41874,43023,40543,34703,33248,31944
México,32958,40416,56752,93003,83566,56835,62751,65381,51520,48916,39539,45501
Michoacán de Ocampo,15469,24346,24362,25126,26340,23876,26366,22624,22999,20414,21521,18102
Morelos,28491,25775,35750,36524,43584,43419,43749,48528,45312,40298,35794,32059
Nayarit,31741,28751,26006,26609,32936,21288,26260,33105,23670,18214,22099,21214
Nuevo León,38136,28516,37076,32552,28720,26221,32819,32407,27805,28319,29064,34099
Oaxaca,25193,20991,18009,20749,29073,24961,27897,22152,26221,22069,22060,18552
Puebla,23946,29350,27318,31662,32690,27530,31331,42343,37647,33014,31685,36234
Querétaro,19516,22860,27197,27975,31572,30991,26860,35395,32756,36034,31664,31817
Quintana Roo,41093,37725,40279,35245,41381,35639,32862,33269,33243,35535,33342,31538
San Luis Potosí,30827,33878,35124,39558,41384,25838,25867,31673,32342,29384,32136,29122
Sinaloa,34254,29838,33231,30287,29139,22750,23257,28748,29507,25945,22026,30230
Sonora,46774,39029,34126,31155,26384,40466,42624,39759,50861,25646,33098,30200
Tabasco,32185,21357,24368,32037,29508,30409,31664,45604,36546,32148,35677,35448
Tamaulipas,27083,20645,25255,19417,33414,21363,23318,23706,25368,21954,20594,20473
Tlaxcala,26065,22387,18530,26660,33700,30699,27707,33847,40336,30177,27130,28718
Veracruz de Ignacio de la Llave,19867,22579,23411,28101,20832,22157,19892,18300,25350,19542,18778,19545
Yucatán,37647,16599,22945,23728,31857,25862,23736,24098,26462,17686,21348,23600
Zacatecas,29688,18772,20506,27290,30058,21501,24160,34642,26670,22363,21510,22474
Estados Unidos Mexicanos,2868605,1170916,2.4,,,,,,,,,
Extorsión,829053,287105,2.9,,,,,,,,,
Fraude,291733,156756,1.9,,,,,,,,,
Robo de mercancía en tránsito,208411,127270,1.6,,,,,,,,,
"Daños a instalaciones, maquinaria o equipo",54955,43269,1.3,,,,,,,,,
