Entidad,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estados Unidos Mexicanos,30535,29200,35139.0,41563.0,41655.0,35497.0,37017.0,39369.0,37807.0,33659.0,30601.0,30786.0
Aguascalientes,56089,25511,32368.0,24711.0,39453.0,35457.0,41254.0,39912.0,36500.0,48443.0,29984.0,29584.0
Baja California,31791,29446,39297.0,57066.0,56632.0,32758.0,51286.0,43921.0,42725.0,35655.0,27377.0,31690.0
Baja California Sur,25779,28884,31049.0,23747.0,34700.0,25577.0,29939.0,25690.0,28377.0,18887.0,22739.0,21756.0
Campeche,20922,21704,29097.0,30597.0,29306.0,22114.0,28892.0,28283.0,26466.0,18595.0,25390.0,18610.0
Coahuila de Zaragoza,29279,26558,17870.0,25451.0,18318.0,24800.0,25215.0,25299.0,24813.0,21896.0,26383.0,24418.0
Colima,17343,22287,25169.0,26309.0,30535.0,27045.0,29449.0,27074.0,28376.0,29280.0,26793.0,26565.0
Chiapas,15028,13663,12827.0,19215.0,19160.0,16687.0,20055.0,20464.0,19409.0,13903.0,15689.0,16386.0
Chihuahua,41903,30562,35952.0,31669.0,24295.0,31274.0,34920.0,28857.0,28622.0,23133.0,25690.0,26432.0
Ciudad de México,44055,40790,49198.0,51786.0,59545.0,52718.0,49913.0,68954.0,69716.0,62008.0,53334.0,45336.0
Durango,23803,21540,27631.0,22512.0,30080.0,25640.0,23283.0,22566.0,22586.0,21373.0,22970.0,17387.0
Guanajuato,23365,26705,34391.0,34110.0,40737.0,33154.0,33384.0,29231.0,38067.0,50894.0,29106.0,29936.0
Guerrero,33467,27040,33762.0,35366.0,42690.0,53875.0,47392.0,45006.0,43051.0,30864.0,30769.0,26481.0
Hidalgo,22662,25106,21874.0,23468.0,23211.0,21159.0,23564.0,22135.0,25987.0,20732.0,23605.0,19205.0
Jalisco,32980,29351,49083.0,47278.0,43076.0,49317.0,41874.0,43023.0,40543.0,34703.0,33248.0,31944.0
México,32958,40416,56752.0,93003.0,83566.0,56835.0,62751.0,65381.0,51520.0,48916.0,39539.0,45501.0
Michoacán de Ocampo,15469,24346,24362.0,25126.0,26340.0,23876.0,26366.0,22624.0,22999.0,20414.0,21521.0,18102.0
Morelos,28491,25775,35750.0,36524.0,43584.0,43419.0,43749.0,48528.0,45312.0,40298.0,35794.0,32059.0
Nayarit,31741,28751,26006.0,26609.0,32936.0,21288.0,26260.0,33105.0,23670.0,18214.0,22099.0,21214.0
Nuevo León,38136,28516,37076.0,32552.0,28720.0,26221.0,32819.0,32407.0,27805.0,28319.0,29064.0,34099.0
Oaxaca,25193,20991,18009.0,20749.0,29073.0,24961.0,27897.0,22152.0,26221.0,22069.0,22060.0,18552.0
Puebla,23946,29350,27318.0,31662.0,32690.0,27530.0,31331.0,42343.0,37647.0,33014.0,31685.0,36234.0
Querétaro,19516,22860,27197.0,27975.0,31572.0,30991.0,26860.0,35395.0,32756.0,36034.0,31664.0,31817.0
Quintana Roo,41093,37725,40279.0,35245.0,41381.0,35639.0,32862.0,33269.0,33243.0,35535.0,33342.0,31538.0
San Luis Potosí,30827,33878,35124.0,39558.0,41384.0,25838.0,25867.0,31673.0,32342.0,29384.0,32136.0,29122.0
Sinaloa,34254,29838,33231.0,30287.0,29139.0,22750.0,23257.0,28748.0,29507.0,25945.0,22026.0,30230.0
Sonora,46774,39029,34126.0,31155.0,26384.0,40466.0,42624.0,39759.0,50861.0,25646.0,33098.0,30200.0
Tabasco,32185,21357,24368.0,32037.0,29508.0,30409.0,31664.0,45604.0,36546.0,32148.0,35677.0,35448.0
Tamaulipas,27083,20645,25255.0,19417.0,33414.0,21363.0,23318.0,23706.0,25368.0,21954.0,20594.0,20473.0
Tlaxcala,26065,22387,18530.0,26660.0,33700.0,30699.0,27707.0,33847.0,40336.0,30177.0,27130.0,28718.0
Veracruz de Ignacio de la Llave,19867,22579,23411.0,28101.0,20832.0,22157.0,19892.0,18300.0,25350.0,19542.0,18778.0,19545.0
Yucatán,37647,16599,22945.0,23728.0,31857.0,25862.0,23736.0,24098.0,26462.0,17686.0,21348.0,23600.0
Zacatecas,29688,18772,20506.0,27290.0,30058.0,21501.0,24160.0,34642.0,26670.0,22363.0,21510.0,22474.0
